champion,result,team_participation,earnedgoldshare,recent_result,recent_team_participation,recent_earnedgoldshare
Aatrox,0.5111052001595957,0.32106876069243184,0.22237184574397229,0.6,0.2863570511385048,0.239881
Ahri,0.5075692041522492,0.5079250723256843,0.2302930852076125,0.5,0.5880107744852328,0.2288466
Akali,0.5080291970802919,0.37175975800001265,0.2249907509426058,0.2,0.4781677930384653,0.22214649999999997
Akshan,0.5330396475770925,0.33644334157100364,0.2381315374449339,0.6,0.3723785595742999,0.2188803
Alistar,0.5005275652862041,0.4361063755868872,0.09637669257006874,0.8,0.36275231820123466,0.09424497000000001
Amumu,0.5216819973718791,0.3826118907524619,0.11097115558475691,0.4,0.48496292924721357,0.15450228
Anivia,0.43478260869565216,0.4480132417192806,0.23944570144927535,0.3,0.41427410116952845,0.2383755
Annie,0.5251857968620974,0.46663184022918464,0.18515520900082577,0.6,0.5583451846571041,0.1973858
Aphelios,0.5114196599255458,0.46038342129089055,0.2689974257973639,0.5,0.586256534909281,0.2754643
Ashe,0.4955016126294347,0.4852240698745096,0.22872351708312086,0.6,0.49913841324951563,0.2033551
Aurelion Sol,0.5447368421052632,0.5521778606877041,0.24404643684210525,0.2,0.5585517313783568,0.2554503
Azir,0.4869544306841409,0.43940370095475834,0.24831872944680136,0.5,0.4558567507857453,0.237908
Bard,0.5602035048049746,0.5291215397179441,0.10280156348219334,0.5,0.5330780360339118,0.10349438
Bel'Veth,0.4658753709198813,0.48417255077889376,0.21272803738872403,0.4,0.5385213172284111,0.2186359
Blitzcrank,0.5388418079096046,0.3979264847773957,0.09822742556497174,0.3,0.4978147743393855,0.09154272
Brand,0.4263565891472868,0.3646195468526202,0.15603842868217055,0.7,0.2531631693613118,0.19907360000000002
Braum,0.48375,0.4924699908848522,0.10219757866401841,0.4,0.37517765073819825,0.08843253
Briar,0.625,0.3280864125600276,0.19277325,0.625,0.3280864125600276,0.19277325
Caitlyn,0.5057915057915058,0.4662440410131399,0.26193075288505224,0.8,0.4713803740715221,0.2716096
Camille,0.531664656212304,0.33600885875858694,0.2247628911245283,0.7,0.14460198183500134,0.20847690000000002
Cassiopeia,0.52833031946956,0.43368508055694677,0.24138371820373716,0.4,0.3829668298677587,0.22162540000000003
Cho'Gath,0.47698072805139186,0.3419375112336867,0.20512819443254818,0.3,0.36407468215515204,0.1988534
Corki,0.5009605122732124,0.49340674369822535,0.2658148865384615,0.5,0.5424217011059117,0.2605377
Darius,0.5063879210220673,0.3114897549272942,0.23409142025611177,0.6,0.3187079874422552,0.23152409999999998
Diana,0.4822064056939502,0.4534401744799211,0.21671407117437722,0.3,0.4446285249475993,0.2034944
Dr. Mundo,0.4567441860465116,0.37678442210308316,0.21465876511627907,0.2,0.20330756624942672,0.2112794
Draven,0.5376415722851432,0.46626497192637745,0.2817133801874163,0.1,0.3657907215725899,0.2673853
Ekko,0.4974025974025974,0.43192779253273317,0.23328345844155846,0.3,0.5419337571474003,0.2669959
Elise,0.5153892576946288,0.4192533754552325,0.17840589232396495,0.6,0.48252206660101393,0.1982816
Evelynn,0.5097276264591439,0.44145461845289596,0.19309641245136186,0.3,0.5243475891423447,0.2138928
Ezreal,0.48492718671737317,0.47919403900895213,0.2588591868091036,0.9,0.4715371762740184,0.2479129
Fiddlesticks,0.4750593824228028,0.39506431397009334,0.13063560756097561,0.3,0.42347808074278664,0.20197380000000004
Fiora,0.4966130397967824,0.2678886816766832,0.2464519559135227,0.6,0.15812704553265194,0.2500519
Fizz,0.476,0.39084739291439635,0.22729812000000002,0.4,0.458435054210209,0.23940440000000002
Galio,0.5032188841201717,0.48388624829538,0.16791862632432433,0.4,0.6104641190709301,0.18764224000000002
Gangplank,0.5210204081632653,0.43051186148025444,0.2610654230889865,0.6,0.39807455736803565,0.2441151
Garen,0.48554913294797686,0.3399865922776554,0.2353188323699422,0.5,0.2929071428189075,0.2569454
Gnar,0.5071302298173247,0.3304177637637469,0.22576779446081321,0.6,0.2957167832167832,0.2519458
Gragas,0.49637372013651876,0.40103089674487485,0.1713714371169247,0.5,0.3609988713905639,0.1726674
Graves,0.49516500383729856,0.4691469430015031,0.22345333708365311,0.5,0.6694546705723091,0.23960889999999999
Gwen,0.5113021330786374,0.32334311135439175,0.23395999777141036,0.5,0.14031482836049397,0.2429244
Hecarim,0.49795560747663553,0.4907838785053492,0.1960957288551402,0.4,0.47150842730316744,0.2309423
Heimerdinger,0.495,0.39281861089539477,0.152407776375,0.4,0.31285035658550087,0.13477125
Illaoi,0.4780701754385965,0.2253419244205639,0.23837632456140354,0.5,0.2874846755750765,0.22007110000000002
Irelia,0.49985693848354795,0.3292518472063433,0.24598414646754738,0.3,0.2988781339237729,0.2457277
Ivern,0.5126234906695939,0.6102267909125073,0.1632325765093304,0.6,0.7344642513825446,0.1657056
Janna,0.5094102885821832,0.5535316273153129,0.11632738341708543,0.3,0.6194016772700983,0.09782853999999999
Jarvan IV,0.4890197521776469,0.5602321380883244,0.17213454595194086,0.4,0.4817534366628262,0.17807599999999998
Jax,0.4916815210932858,0.2788591760633355,0.22907715501338888,0.6,0.244744011037393,0.2210678
Jayce,0.5147013782542114,0.39129465472373415,0.24293233855125845,0.5,0.4423994791245843,0.23969040000000003
Jhin,0.47952471886272013,0.5236355028821224,0.24559448270740505,0.3,0.505925902213699,0.23286829999999997
Jinx,0.5048059149722736,0.5104746208303421,0.27640387585568915,0.3,0.4478623642439432,0.2730351
K'Sante,0.47167235494880544,0.3467793558251101,0.20839555317406142,0.4,0.25434346355398985,0.2072481
Kai'Sa,0.50233688539914,0.49323941279551364,0.27148503302373583,0.6,0.5239087534957982,0.298879
Kalista,0.5233377366798767,0.4879224862960855,0.26394878960636886,0.6,0.41186348184987026,0.2532734
Karma,0.44377034625628886,0.49963749153592435,0.1338418934093602,0.7,0.4959860435402231,0.12382024999999999
Karthus,0.4945280437756498,0.49613756877308146,0.2277724179206566,0.6,0.46727807757792766,0.2506309
Kassadin,0.4829749103942652,0.4756498343329308,0.25201802154398567,0.3,0.44130143428608903,0.251225
Katarina,0.4253731343283582,0.42584550725529985,0.22647631343283584,0.5,0.4446267158767158,0.2058967
Kayle,0.503731343283582,0.3948067103431698,0.25932226529850744,0.5,0.4346321305039167,0.2709294
Kayn,0.4427767354596623,0.423748723778709,0.20943133958724203,0.4,0.40889355039674735,0.21743740000000003
Kennen,0.4850152905198777,0.303440693891992,0.22148511968625037,0.5,0.29291768643256055,0.2191847
Kha'Zix,0.5187106335679882,0.4195439575050512,0.19083006382189238,0.7,0.4726026536243254,0.2254315
Kindred,0.49378482640377197,0.4574398065499252,0.21036466522678185,0.4,0.4294585161584313,0.2245657
Kled,0.505283381364073,0.4176319872444883,0.22319189038461537,0.3,0.36891702870821863,0.2447643
Kog'Maw,0.4418423106947697,0.47963657071004917,0.25794827101335427,0.4,0.4160700886754626,0.2501298
LeBlanc,0.5068203650336215,0.469693028893368,0.22936166872229719,0.9,0.43939708141321043,0.23792049999999998
Lee Sin,0.49417098445595853,0.4804945949222259,0.18168409552093476,0.6,0.5209870691220806,0.1952363
Leona,0.49597354040839803,0.3707522952923221,0.09156653085443038,0.4,0.3962236588140577,0.09093773
Lillia,0.49023941068139965,0.48238967930602,0.19899964456721916,0.5,0.4533120050382804,0.21158570000000002
Lissandra,0.5167114867460623,0.4423083169479728,0.2160768621506211,0.5,0.45220976366628546,0.16894588
Lucian,0.5072587532023911,0.4448450125898617,0.2607447970579834,0.4,0.4037211119060964,0.2521116
Lulu,0.44893015744852643,0.5544997788290049,0.10837724316575813,0.4,0.5505686514096125,0.09235767
Lux,0.525695931477516,0.5020759776517405,0.11871398206638116,0.4,0.4312793851029145,0.17706168
Malphite,0.4683466502765827,0.3738236703239236,0.19069169250153656,0.7,0.3420407022458106,0.1814025
Malzahar,0.5479323308270677,0.42164073115650047,0.1811187492003763,0.4,0.4660644489669258,0.2421469
Maokai,0.5319767441860465,0.4530041911178328,0.17198470687292358,0.5,0.43609516446372015,0.1585643
Master Yi,0.2549019607843137,0.507482225016517,0.28878282352941176,0.2,0.41042345374422373,0.233396
Milio,0.5300353356890459,0.638900189568984,0.09272824558303887,0.2,0.6155277438610772,0.08457146
Miss Fortune,0.4955657081429723,0.49596591856899946,0.262512503683786,0.0,0.4951574012512278,0.26420659999999996
Mordekaiser,0.5020470829068577,0.27872703396946125,0.22024723700102353,0.6,0.3265939011968424,0.210133
Morgana,0.5140489913544669,0.48867838142779935,0.1210678588917059,0.0,0.4841309951620896,0.12993222
Naafiri,0.3333333333333333,0.3761695906432749,0.2293346666666667,0.3333333333333333,0.3761695906432749,0.2293346666666667
Nami,0.5073151443258205,0.593055041377433,0.09980772230130487,0.5,0.5342429720975872,0.10446294999999998
Nasus,0.40816326530612246,0.2741811051979323,0.215637331292517,0.5,0.23161866323503152,0.19561584
Nautilus,0.4850030921459493,0.3744674095254111,0.09918121822820038,0.4,0.15023485234046832,0.08338841
Neeko,0.4935483870967742,0.38650770204109525,0.209712225,0.7,0.36902314060208796,0.1914804
Nidalee,0.5197466467958272,0.5149271783786964,0.20711429183749533,0.3,0.5653119615703514,0.2000794
Nilah,0.5390625,0.5091262179207131,0.266449921875,0.5,0.42266754553157443,0.266712
Nocturne,0.5105355575065847,0.41909554714561553,0.19118690202108962,0.5,0.47998251049738466,0.17840019999999998
Nunu & Willump,0.5389221556886228,0.553972916808506,0.1646542146706587,0.5,0.5308332177347302,0.16737459999999998
Olaf,0.5118556701030927,0.43341227476365946,0.19635359294926913,0.4,0.21728732705203294,0.2145615
Orianna,0.49697766097240476,0.5222677758958763,0.23954704483302655,0.9,0.4936042747615974,0.2308967
Ornn,0.48698532891623286,0.4056432922817751,0.18881016092103706,0.2,0.397590902389664,0.1790059
Pantheon,0.5039113428943938,0.3762762053645682,0.17571569843546284,0.7,0.37112475317080584,0.21746790000000002
Poppy,0.5095522388059701,0.39481139553937106,0.17702652328153018,0.5,0.3975350913511576,0.15798201
Pyke,0.4891684136967156,0.3706065220584095,0.1341211452697968,0.8,0.2529512157820981,0.1300141
Qiyana,0.534516765285996,0.38396738430912153,0.2160983412228797,0.3,0.3091538930625618,0.2500137
Quinn,0.5,0.3399376846077792,0.2451435357142857,0.5,0.2802861627773553,0.2399975
Rakan,0.5425289735099338,0.533962364193235,0.09965243519358177,0.3,0.4593105223548083,0.08940106
Rammus,0.5517241379310345,0.41896829720639367,0.16396710344827586,0.2,0.34667911057810435,0.154889
Rek'Sai,0.49351041352248715,0.4057491819676666,0.18253353968253969,0.6,0.38137756011413304,0.1987374
Rell,0.5287494010541447,0.43211653955628354,0.09658828888356492,0.3,0.5718370716942529,0.12172419999999999
Renata Glasc,0.5320388349514563,0.5362188491351996,0.0969099895631068,0.5,0.543561062049082,0.10551994
Renekton,0.5063711318128279,0.308758240355582,0.22630437419631377,0.6,0.3091031585148364,0.2149156
Rengar,0.5099415204678363,0.38173873745014897,0.1960192748538012,0.8,0.3894097232541168,0.21685849999999998
Riven,0.4987951807228916,0.3344648494317041,0.23577713075060533,0.7,0.2755671689288376,0.2170515
Rumble,0.49308300395256915,0.4159408819552209,0.21112608184514,0.3,0.36658417340883015,0.19005339999999998
Ryze,0.47788285539963393,0.43163735994321933,0.24648641916717695,0.6,0.441009893259052,0.22875109999999999
Samira,0.48006509357200977,0.44329566337418497,0.2613718087876322,0.7,0.39155227902194945,0.2632583
Sejuani,0.48161290322580647,0.5259028993472293,0.16858015303992252,0.3,0.5800843544621308,0.1769927
Senna,0.507210205213533,0.5779947689034618,0.18275559864115365,0.6,0.6268981991481992,0.1686474
Seraphine,0.5232,0.5476671897201362,0.18759295237333332,0.4,0.6031824022700232,0.20921099999999998
Sett,0.5034058448692595,0.33393739105326137,0.17355394897824653,0.4,0.2563612073850872,0.18702959000000002
Shaco,0.42857142857142855,0.3895082102996652,0.187146773015873,0.4,0.4320722847843591,0.1882603
Shen,0.4832428981806575,0.4635147219591507,0.173247577394636,0.7,0.4577553871249524,0.1923877
Shyvana,0.4611872146118721,0.4458419189649126,0.22234900456621004,0.5,0.29724151063934345,0.27734610000000004
Singed,0.5416666666666666,0.3803998515770866,0.1943679861111111,0.5,0.2943195829548571,0.17634799
Sion,0.4845383275261324,0.3646235701368067,0.193551921959755,0.3,0.30205551694682126,0.19594309999999998
Sivir,0.4923910239876193,0.5237224254511278,0.27388635577915377,0.6,0.5163171580666532,0.2651522
Skarner,0.5488141202426917,0.47888974043994587,0.16063372538631346,0.4,0.4920777249066723,0.1692088
Sona,0.5114503816793893,0.57159311705442,0.16000305114503816,0.7,0.4434809699244684,0.09816978
Soraka,0.45062429057888764,0.511799354012256,0.11070831160409556,0.6,0.5639901164653487,0.09571195
Swain,0.5203073545554336,0.47493900098240904,0.21660742748763057,0.5,0.5528797135707153,0.2141626
Sylas,0.5105028644175684,0.4104645059430948,0.22038873262705114,0.7,0.49268745630587735,0.23932959999999998
Syndra,0.48319274833186454,0.41674711672855125,0.2356488514804082,0.4,0.4508125187207163,0.24337210000000004
Tahm Kench,0.5022470379953697,0.38208409755967204,0.11234665258126195,0.4,0.405566664245154,0.10721278999999999
Taliyah,0.522751100859719,0.497861544420007,0.2254847059378934,0.2,0.48591691762343936,0.235235
Talon,0.5336538461538461,0.41153727849727306,0.2347836826923077,0.4,0.43020191946994607,0.2201022
Taric,0.47024504084014,0.5252757775496976,0.10560240904317386,0.6,0.51399021171467,0.09363331
Teemo,0.3888888888888889,0.2344490580168507,0.2372786388888889,0.2,0.29280948910038196,0.2378673
Thresh,0.5220952791549903,0.47540691632984683,0.09735254613805769,0.2,0.41901880025719035,0.0936843
Tristana,0.5033716056132678,0.47724377303481486,0.26923011003649633,0.3,0.3366133727738587,0.2659055
Trundle,0.49711277173913043,0.524354367599059,0.1676715022927989,0.5,0.4131858475524143,0.17538320000000002
Tryndamere,0.527736131934033,0.31976039729774464,0.2566880794602699,0.5,0.22686338261281053,0.25194970000000005
Twisted Fate,0.565967365967366,0.506014779057614,0.2387138582750583,0.5,0.5505279332181506,0.2338114
Twitch,0.4963680387409201,0.4657572019026525,0.246354293220339,0.5,0.4153654883277982,0.2544019
Udyr,0.4808695652173913,0.48585837141818916,0.19300310147826089,0.4,0.45931756910208477,0.2075328
Urgot,0.5093652445369407,0.373854745305022,0.22760103699843667,0.5,0.36871994186790824,0.2285227
Varus,0.49063260340632603,0.4759973199549199,0.25103276904529953,0.3,0.4655522401575033,0.25251330000000005
Vayne,0.46980337078651685,0.4207750059085689,0.25631586067892503,0.7,0.5349161069109918,0.281623
Veigar,0.45622119815668205,0.4631617028231388,0.23940145350553504,0.4,0.4340939908045171,0.2271592
Vel'Koz,0.51171875,0.5016748827419988,0.22886802974559686,0.2,0.5670553835569315,0.2542759
Vex,0.49508196721311476,0.441317472481907,0.2165550306010929,0.5,0.43764635948846475,0.2175678
Vi,0.5039787798408488,0.41630400583850874,0.17452410784388026,0.7,0.3840687814600858,0.1751373
Viego,0.4717874794069193,0.47411794267663804,0.19682997292009885,0.4,0.5139455870067324,0.20692309999999997
Viktor,0.4675223648385842,0.43994412611779027,0.24213642162582652,0.5,0.5389032342934339,0.24343909999999996
Vladimir,0.4915869350049489,0.3813330187557755,0.23478307820299502,0.5,0.34951873290108587,0.2439527
Volibear,0.48659003831417624,0.42183168743553545,0.1761648306768838,0.6,0.4253046308071756,0.1690593
Warwick,0.45454545454545453,0.383970076011724,0.18320544444444445,0.5,0.12579892157531908,0.1858549
Wukong,0.509862423338306,0.4315107274308615,0.19387984319575666,0.3,0.4479659071485192,0.1939473
Xayah,0.5182686319285863,0.4913532429681589,0.2690366374493717,0.6,0.6147367024026062,0.2795045
Xerath,0.3946784922394678,0.5418983460776806,0.2308083933481153,0.3,0.559416053798994,0.241775
Xin Zhao,0.48302354399008673,0.40994849515840764,0.17921292303677933,0.5,0.4199743244371728,0.1881492
Yasuo,0.4849928537398761,0.38476771237357665,0.24512720301147226,0.3,0.4597203682110803,0.2595615
Yone,0.4928994082840237,0.3518106326144727,0.244907425443787,0.4,0.34219544151385584,0.25394
Yorick,0.4782608695652174,0.26050029066073077,0.24293986830357145,0.3,0.062407711569476276,0.2440984
Yuumi,0.4869489559164733,0.6564588078034272,0.09559228584686776,0.1,0.6411270559505853,0.08176256
Zac,0.5184210526315789,0.5083502692843997,0.1609611814229249,0.4,0.41657035425799727,0.1736202
Zed,0.5190311418685121,0.3680908262178336,0.23291167652173914,0.5,0.3193088886212825,0.2798419
Zeri,0.5,0.5220487030840868,0.27797026159732185,0.4,0.42350291946531726,0.2703906
Ziggs,0.4721030042918455,0.4723257594078319,0.2471913738197425,0.3,0.4998643556306095,0.2559976
Zilean,0.4834368530020704,0.5438570021646473,0.15291734968944098,0.7,0.6044550345968773,0.09605636
Zoe,0.5197368421052632,0.49377623400808723,0.22391551766353268,0.4,0.4053323867617701,0.2267022
Zyra,0.465016146393972,0.3630684948823875,0.12578878223896664,0.3,0.3871491654773388,0.10941874
